Sentence #,Word,POS,Tag
,parasitoids,_,B-Biotic_Entity
,in,_,O
,the,_,O
,region,_,B-Aggregate_Biotic_Abiotic_Entity
,of,_,O
,relict,_,B-Quality
,populations,_,B-Biotic_Entity
,.,_,O
Sentence: 9,There,_,O
,are,_,O
,many,_,O
,parasitoids,_,B-Biotic_Entity
,so,_,O
,far,_,O
,recorded,_,O
,but,_,O
,the,_,O
,chalcidoid,_,B-Biotic_Entity
,eulophid,_,B-Biotic_Entity
,genera,_,B-Biotic_Entity
,Chrysocharis,_,B-Biotic_Entity
,Closterocerus,_,B-Biotic_Entity
,(,_,O
,C.,_,B-Biotic_Entity
,trifasciatus,_,I-Biotic_Entity
,Westwood,_,O
,),_,O
,Minotetrastichus,_,B-Biotic_Entity
,(,_,O
,M.,_,B-Biotic_Entity
,frontalis,_,I-Biotic_Entity
,),_,O
,Pnigalio,_,B-Biotic_Entity
,(,_,O
,P.,_,B-Biotic_Entity
,agraulius,_,I-Biotic_Entity
,),_,O
,and,_,O
,Pediobius,_,B-Biotic_Entity
,are,_,O
,important,_,O
,and,_,O
,especially,_,O
,P.,_,B-Biotic_Entity
,saulius,_,I-Biotic_Entity
,a,_,O
,pupal,_,B-Biotic_Entity
,parasitoid,_,I-Biotic_Entity
,which,_,O
,seems,_,O
,to,_,O
,respond,_,B-Eventuality
,sensitively,_,O
,to,_,O
,Cameraria,_,B-Biotic_Entity
,abundance,_,B-Quality
,following,_,O
,several,_,B-Time
,years,_,I-Time
,of,_,O
,presence,_,B-Quality
,.,_,O
Sentence: 10,Cirropsilus,_,B-Biotic_Entity
,talitizkii,_,I-Biotic_Entity
,also,_,O
,seems,_,O
,to,_,O
,be,_,O
,actively,_,B-Quality
,tracking,_,B-Eventuality
,the,_,O
,colonisation,_,B-Eventuality
,of,_,O
,the,_,O
,moth,_,B-Biotic_Entity
,.,_,O
Sentence: 11,Most,_,O
,chalcidoids,_,B-Biotic_Entity
,and,_,O
,braconids,_,B-Biotic_Entity
,attack,_,B-Eventuality
,larval,_,B-Biotic_Entity
,stages,_,I-Biotic_Entity
,but,_,O
,some,_,O
,ichneumonids,_,B-Biotic_Entity
,parasitize,_,B-Eventuality
,the,_,O
,pupa,_,B-Biotic_Entity
,.,_,O
Sentence: 12,No,_,O
,parasitoids,_,B-Biotic_Entity
,have,_,O
,been,_,O
,found,_,B-Eventuality
,on,_,O
,eggs,_,B-Biotic_Entity
,although,_,O
,the,_,O
,eggs,_,B-Biotic_Entity
,are,_,O
,very,_,O
,small,_,B-Quality
,.,_,O
Sentence: 13,The,_,O
,parasitoid,_,B-Biotic_Entity
,community,_,I-Biotic_Entity
,has,_,O
,been,_,O
,investigated,_,O
,in,_,O
,detail,_,O
,in,_,O
,some,_,O
,places,_,B-Aggregate_Biotic_Abiotic_Entity
,such,_,O
,as,_,O
,Serbia,_,B-Location
,where,_,O
,it,_,O
,has,_,O
,little,_,B-Quality
,effect,_,B-Eventuality
,on,_,O
,Cameraria,_,B-Biotic_Entity
,abundance,_,B-Quality
,and,_,O
,Slovenia,_,B-Location
,.,_,O
Sentence: 14,Rate,_,B-Quality
,of,_,O
,parasitism,_,B-Eventuality
,is,_,O
,exceptionally,_,O
,low,_,B-Quality
,for,_,O
,a,_,O
,gracillariid,_,B-Biotic_Entity
,species,_,I-Biotic_Entity
,usually,_,O
,below,_,O
,10,_,B-Value
,%,_,B-Unit
,and,_,O
,does,_,O
,not,_,O
,generally,_,O
,exceed,_,O
,25,_,B-Value
,%,_,B-Unit
,with,_,O
,a,_,O
,normal,_,B-Quality
,range,_,B-Quality
,in,_,O
,the,_,O
,Balkans,_,B-Location
,of,_,O
,3.6-21,_,B-Value
,%,_,B-Unit
,a,_,O
,range,_,B-Quality
,not,_,O
,varying,_,B-Eventuality
,between,_,O
,natural,_,B-Aggregate_Biotic_Abiotic_Entity
,and,_,O
,artificial,_,B-Aggregate_Biotic_Abiotic_Entity
,stands,_,I-Aggregate_Biotic_Abiotic_Entity
,.,_,O
Sentence: 15,One,_,O
,reason,_,O
,for,_,O
,this,_,O
,low,_,O
,level,_,O
,may,_,O
,be,_,O
,that,_,O
,local,_,B-Quality
,generalist,_,B-Biotic_Entity
,parasitoids,_,I-Biotic_Entity
,are,_,O
,busy,_,B-Eventuality
,using,_,B-Eventuality
,different,_,O
,hosts,_,B-Biotic_Entity
,and,_,O
,thus,_,O
,do,_,O
,not,_,O
,tend,_,B-Eventuality
,to,_,O
,adopt,_,B-Eventuality
,Cameraria,_,B-Biotic_Entity
,rapidly,_,B-Quality
,in,_,B-Time
,the,_,I-Time
,season,_,I-Time
,soon,_,I-Time
,after,_,O
,emergence,_,B-Eventuality
,of,_,O
,adults,_,B-Biotic_Entity
,.,_,O
Sentence: 16,Over,_,O
,60,_,B-Value
,generalist,_,B-Biotic_Entity
,parasitoids,_,I-Biotic_Entity
,have,_,O
,been,_,O
,recorded,_,O
,.,_,O
Sentence: 17,The,_,O
,list,_,O
,of,_,O
,de,_,O
,Prins,_,O
,and,_,O
,de,_,O
,Prins,_,O
,2005,_,O
,documents,_,O
,the,_,O
,following,_,O
,parasitoid,_,B-Biotic_Entity
,generic,_,B-Quality
,and,_,O
,species,_,O
,records,_,O
,for,_,O
,C.,_,B-Biotic_Entity
,ohridella,_,I-Biotic_Entity
,:,_,O
,Chalcidoidea,_,B-Biotic_Entity
,:,_,O
,Encyrtidae,_,B-Biotic_Entity
,:,_,O
,Isodromus,_,B-Biotic_Entity
,vinulus,_,I-Biotic_Entity
,;,_,O
,Eulophidae,_,B-Biotic_Entity
,:,_,O
,Elachertinae,_,B-Biotic_Entity
,:,_,O
,Cirrospilus,_,B-Biotic_Entity
,elegantissimus,_,I-Biotic_Entity
,Westwood,_,O
,1832,_,O
,C.,_,B-Biotic_Entity
,pictus,_,I-Biotic_Entity
,C.,_,B-Biotic_Entity
,singa,_,I-Biotic_Entity
,Walker,_,O
,1838,_,O
,C.,_,B-Biotic_Entity
,talitzkii,_,I-Biotic_Entity
,Bouček,_,O
,1961,_,O
,C.,_,B-Biotic_Entity
,variegatus,_,I-Biotic_Entity
,C.,_,B-Biotic_Entity
,viticola,_,I-Biotic_Entity
,C.,_,B-Biotic_Entity
,vittatus,_,I-Biotic_Entity
,Walker,_,O
,1838,_,O
,;,_,O
,Elachertus,_,B-Biotic_Entity
,inunctus,_,I-Biotic_Entity
,Nees,_,O
,;,_,O
,Aprostocetus,_,B-Biotic_Entity
,sp,_,I-Biotic_Entity
,.,_,I-Biotic_Entity
Sentence: 18,;,_,O
,Elasminae,_,B-Biotic_Entity
,:,_,O
,Melittobia,_,B-Biotic_Entity
,acasta,_,I-Biotic_Entity
,(,_,O
,Walker,_,O
,),_,O
,1922,_,O
,),_,O
,;,_,O
,Entedoninae,_,B-Biotic_Entity
,:,_,O
,Chrysocharis,_,B-Biotic_Entity
,nephereus,_,I-Biotic_Entity
,C.,_,B-Biotic_Entity
,orchestis,_,I-Biotic_Entity
,(,_,O
,Ratzeburg,_,O
,),_,O
,C.,_,B-Biotic_Entity
,pentheus,_,I-Biotic_Entity
,Chrysocharis,_,B-Biotic_Entity
,phryne,_,I-Biotic_Entity
,C.,_,B-Biotic_Entity
,purpurea,_,I-Biotic_Entity
,Bukowski,_,O
,1938,_,O
,Closterocerus,_,B-Biotic_Entity
,delucchi,_,I-Biotic_Entity
,Closterocerus,_,B-Biotic_Entity
,lyonetiae,_,I-Biotic_Entity
,(,_,O
,Ferriere,_,O
,),_,O
,C.,_,B-Biotic_Entity
,trifasciatus,_,I-Biotic_Entity
,Westwood,_,O
,1833,_,O
,Neochrysocharis,_,B-Biotic_Entity
,chlorogaster,_,I-Biotic_Entity
,(,_,O
,Erd,_,O
,.,_,O
Sentence: 19,),_,O
,Diglyphus,_,B-Biotic_Entity
,isaea,_,I-Biotic_Entity
,Euplectrus,_,B-Biotic_Entity
,bicolor,_,I-Biotic_Entity
,Hemiptarsenus,_,B-Biotic_Entity
,dropion,_,I-Biotic_Entity
,(,_,O
,Walker,_,O
,),_,O
,H.,_,B-Biotic_Entity
,ornatus,_,I-Biotic_Entity
,Pediobius,_,B-Biotic_Entity
,saulius,_,I-Biotic_Entity
,;,_,O
,Pnigalio,_,B-Biotic_Entity
,agraules,_,I-Biotic_Entity
,P.,_,B-Biotic_Entity
,longulus,_,I-Biotic_Entity
,P.,_,B-Biotic_Entity
,pectinicornis,_,I-Biotic_Entity
,Pnigalio,_,B-Biotic_Entity
,populifoliellae,_,I-Biotic_Entity
,Erdös,_,O
,P.,_,B-Biotic_Entity
,soemius,_,I-Biotic_Entity
,Sympiesis,_,B-Biotic_Entity
,euspilapterygis,_,I-Biotic_Entity
,(,_,O
,Erdös,_,O
,),_,O
,S.,_,B-Biotic_Entity
,gordius,_,I-Biotic_Entity
,;,_,O
,S.,_,B-Biotic_Entity
,sericeicornis,_,I-Biotic_Entity
,;,_,O
,Tetrastichinae,_,B-Biotic_Entity
,:,_,O
,Baryscapus,_,B-Biotic_Entity
,nigroviolaceus,_,I-Biotic_Entity
,;,_,O
,Eutetrastichus,_,B-Biotic_Entity
,amethystinus,_,I-Biotic_Entity
,(,_,O
,Ratzeburg,_,O
,),_,O
,Minotetrastichus,_,B-Biotic_Entity
,frontalis,_,I-Biotic_Entity
,M.,_,B-Biotic_Entity
,platanellus,_,I-Biotic_Entity
,(,_,O
,Mercet,_,O
,),_,O
,;,_,O
,Eupelmidae,_,B-Biotic_Entity
,:,_,O
,Eupelmus,_,B-Biotic_Entity
,urozonus,_,I-Biotic_Entity
,E.,_,B-Biotic_Entity
,vesicularis,_,I-Biotic_Entity
,;,_,O
,Pteromalidae,_,B-Biotic_Entity
,:,_,O
,Mesopolobus,_,B-Biotic_Entity
,sp.,_,I-Biotic_Entity
,Pteromalus,_,B-Biotic_Entity
,semotus,_,I-Biotic_Entity
,;,_,O
,Ichneumonoidea,_,B-Biotic_Entity
,:,_,O
,Braconidae,_,B-Biotic_Entity
,:,_,O
,Blacus,_,B-Biotic_Entity
,maculipes,_,I-Biotic_Entity
,Wesmael,_,O
,Colastes,_,B-Biotic_Entity
,braconius,_,I-Biotic_Entity
,Haliday,_,O
,1833,_,O
,C.,_,B-Biotic_Entity
,flavitarsis,_,I-Biotic_Entity
,Thomson,_,O
,Pholetesor,_,B-Biotic_Entity
,circumscriptus,_,I-Biotic_Entity
,;,_,O
,Ichneumonidae,_,B-Biotic_Entity
,:,_,O
,Adelognathus,_,B-Biotic_Entity
,sp.,_,I-Biotic_Entity
,Gelis,_,B-Biotic_Entity
,aerator,_,I-Biotic_Entity
,G.,_,B-Biotic_Entity
,agilis,_,I-Biotic_Entity
,(,_,O
,Fabricius,_,O
,),_,O
,Itoplectis,_,B-Biotic_Entity
,alternans,_,I-Biotic_Entity
,I.,_,B-Biotic_Entity
,clavicornis,_,I-Biotic_Entity
,(,_,O
,Thompson,_,O
,),_,O
,I.,_,B-Biotic_Entity
,maculator,_,I-Biotic_Entity
,(,_,O
,Fabricius,_,O
,),_,O
,Scambus,_,B-Biotic_Entity
,annulatus,_,I-Biotic_Entity
,S.,_,B-Biotic_Entity
,brevicornis,_,I-Biotic_Entity
,(,_,O
,Gravenhorst,_,O
,),_,O
,Zatypota,_,B-Biotic_Entity
,percontatoria,_,I-Biotic_Entity
,(,_,O
,Müller,_,O
,),_,O
,.,_,O
Sentence: 20,Sims,_,O
,et,_,O
,al.,_,O
,used,_,O
,a,_,O
,fast-acquisition,_,O
,global,_,O
,positioning,_,O
,system,_,O
,(,_,O
,Fastloc,_,O
,GPS,_,O
,),_,O
,tag,_,O
,with,_,O
,remote,_,O
,data,_,O
,retrieval,_,O
,to,_,O
,track,_,O
,long-term,_,B-Time
,movements,_,B-Eventuality
,of,_,O
,three,_,B-Value
,Ocean,_,B-Biotic_Entity
,Sunfish,_,I-Biotic_Entity
,(,_,O
,Mola,_,B-Biotic_Entity
,mola,_,I-Biotic_Entity
,),_,O
,captured,_,O
,and,_,O
,tagged,_,O
,off,_,O
,southern,_,B-Location
,Portugal,_,I-Location
,.,_,O
Sentence: 21,This,_,O
,allowed,_,O
,tracking,_,O
,in,_,O
,near,_,B-Time
,real,_,I-Time
,time,_,I-Time
,with,_,O
,position,_,O
,accuracy,_,O
,of,_,O
,<,_,O
,70,_,B-Value
,m,_,B-Unit
,.,_,O
Sentence: 22,These,_,I-Unit
,fish,_,B-Biotic_Entity
,are,_,O
,known,_,O
,to,_,O
,dive,_,B-Eventuality
,to,_,O
,depths,_,B-Quality
,of,_,O
,at,_,O
,least,_,O
,472,_,B-Value
,m,_,B-Unit
,and,_,O
,can,_,O
,often,_,O
,remain,_,B-Eventuality
,at,_,O
,deep,_,B-Quality
,depths,_,B-Quality
,for,_,B-Time
,long,_,I-Time
,periods,_,I-Time
,only,_,O
,returning,_,B-Eventuality
,occasionally,_,O
,and,_,O
,then,_,O
,often,_,O
,only,_,O
,briefly,_,B-Time
,to,_,O
,the,_,O
,surface,_,B-Aggregate_Biotic_Abiotic_Entity
,.,_,O
Sentence: 23,The,_,O
,system,_,O
,implemented,_,O
,permitted,_,O
,reception,_,O
,and,_,O
,transmission,_,O
,of,_,O
,location,_,O
,information,_,O
,whenever,_,O
,the,_,O
,fish,_,B-Biotic_Entity
,came,_,B-Eventuality
,close,_,O
,to,_,O
,the,_,O
,surface,_,B-Aggregate_Biotic_Abiotic_Entity
,.,_,O
Sentence: 24,According,_,O
,to,_,O
,Sims,_,O
,et,_,O
,al.,_,O
,their,_,O
,study,_,O
,represents,_,O
,the,_,O
,first,_,O
,demonstration,_,O
,of,_,O
,long-term,_,B-Time
,(,_,O
,>,_,O
,90,_,B-Time
,days,_,I-Time
,),_,O
,GPS,_,O
,tracking,_,O
,of,_,O
,a,_,O
,large,_,B-Quality
,pelagic,_,B-Biotic_Entity
,fish,_,I-Biotic_Entity
,and,_,O
,shows,_,O
,the,_,O
,great,_,O
,potential,_,O
,for,_,O
,this,_,O
,technique,_,O
,whereby,_,O
,GPS-quality,_,O
,location,_,O
,data,_,O
,are,_,O
,retrieved,_,O
,remotely,_,O
,via,_,O
,conventional,_,O
,Argos,_,O
,satellites,_,O
,.,_,O
Sentence: 25,By,_,O
,freeing,_,O
,researchers,_,O
,from,_,O
,the,_,O
,restriction,_,O
,of,_,O
,working,_,O
,on,_,O
,estuarine,_,B-Aggregate_Biotic_Abiotic_Entity
,or,_,O
,nearshore,_,B-Aggregate_Biotic_Abiotic_Entity
,species,_,O
,in,_,O
,order,_,O
,to,_,O
,physically,_,O
,recover,_,O
,tags,_,O
,to,_,O
,download,_,O
,GPS,_,O
,acquisition,_,O
,data,_,O
,this,_,O
,technique,_,O
,offers,_,O
,tremendous,_,O
,potential,_,O
,for,_,O
,tracking,_,O
,large,_,B-Quality
,pelagic,_,B-Quality
,fish,_,B-Biotic_Entity
,species,_,I-Biotic_Entity
,that,_,O
,surface,_,B-Eventuality
,relatively,_,O
,frequently,_,O
,.,_,O
Sentence: 26,Although,_,O
,the,_,O
,high,_,O
,spatial,_,O
,accuracy,_,O
,of,_,O
,this,_,O
,technique,_,O
,for,_,O
,fish,_,B-Biotic_Entity
,in,_,O
,open,_,B-Aggregate_Biotic_Abiotic_Entity
,ocean,_,I-Aggregate_Biotic_Abiotic_Entity
,habitats,_,I-Aggregate_Biotic_Abiotic_Entity
,has,_,O
,practical,_,O
,applications,_,O
,for,_,O
,both,_,O
,fisheries,_,O
,and,_,O
,conservation,_,O
,it,_,O
,will,_,O
,not,_,O
,be,_,O
,suitable,_,O
,for,_,O
,fish,_,B-Biotic_Entity
,species,_,I-Biotic_Entity
,that,_,O
,remain,_,B-Eventuality
,in,_,O
,deep,_,B-Aggregate_Biotic_Abiotic_Entity
,water,_,I-Aggregate_Biotic_Abiotic_Entity
,after,_,O
,tagging,_,O
,.,_,O
Sentence: 27,In,_,B-Time
,the,_,I-Time
,early,_,I-Time
,part,_,I-Time
,of,_,I-Time
,the,_,I-Time
,20th,_,I-Time
,Century,_,I-Time
,Ocean,_,B-Biotic_Entity
,Sunfish,_,I-Biotic_Entity
,were,_,O
,sometimes,_,O
,described,_,O
,as,_,O
,active,_,B-Eventuality
,swimmers,_,B-Biotic_Entity
,but,_,O
,in,_,O
,other,_,O
,cases,_,O
,described,_,O
,as,_,O
,sluggish,_,B-Quality
,inefficient,_,B-Quality
,swimmers,_,B-Biotic_Entity
,passively,_,B-Quality
,carried,_,B-Eventuality
,by,_,O
,ocean,_,B-Eventuality
,currents,_,I-Eventuality
,.,_,O
Sentence: 28,Modern,_,O
,tracking,_,O
,studies,_,O
,of,_,O
,these,_,O
,fish,_,B-Biotic_Entity
,using,_,O
,attached,_,O
,acoustic,_,O
,transmitters,_,O
,acceleration,_,O
,dataloggers,_,O
,and,_,O
,satellite-linked,_,O
,archival,_,O
,transmitters,_,O
,have,_,O
,demonstrated,_,O
,that,_,O
,they,_,O
,are,_,O
,active,_,B-Eventuality
,swimmers,_,B-Biotic_Entity
,both,_,O
,horizontally,_,O
,and,_,O
,vertically,_,O
,.,_,O
Sentence: 29,Sims,_,O
,et,_,O
,al.,_,O
,found,_,O
,that,_,O
,the,_,O
,Ocean,_,B-Biotic_Entity
,Sunfish,_,I-Biotic_Entity
,they,_,O
,tracked,_,O
,covered,_,B-Eventuality
,around,_,O
,10,_,B-Value
,to,_,O
,20,_,B-Value
,km,_,B-Unit
,per,_,I-Unit
,day,_,I-Unit
,a,_,O
,rate,_,B-Quality
,that,_,O
,is,_,O
,comparable,_,O
,to,_,O
,the,_,O
,movements,_,B-Eventuality
,of,_,O
,pelagic,_,B-Biotic_Entity
,sharks,_,I-Biotic_Entity
,.,_,O
Sentence: 30,GPS,_,O
,track,_,O
,integration,_,O
,with,_,O
,current,_,O
,direction/strength,_,O
,maps,_,O
,showed,_,O
,individuals,_,B-Biotic_Entity
,often,_,O
,headed,_,B-Eventuality
,into,_,O
,and,_,O
,across,_,O
,prevailing,_,B-Eventuality
,currents,_,I-Eventuality
,associated,_,O
,with,_,O
,mesoscale,_,B-Eventuality
,eddies,_,I-Eventuality
,.,_,O
Sentence: 31,These,_,O
,data,_,O
,confirm,_,O
,that,_,O
,Ocean,_,B-Biotic_Entity
,Sunfish,_,I-Biotic_Entity
,are,_,O
,not,_,O
,passive,_,B-Quality
,drifters,_,B-Biotic_Entity
,but,_,O
,rather,_,O
,are,_,O
,in,_,O
,fact,_,O
,active,_,B-Eventuality
,swimmers,_,B-Biotic_Entity
,with,_,O
,movement,_,B-Eventuality
,rates,_,B-Quality
,within,_,O
,the,_,O
,range,_,O
,observed,_,O
,for,_,O
,other,_,O
,pelagic,_,B-Quality
,fishes,_,B-Biotic_Entity
,.,_,O
Sentence: 32,Search-like,_,B-Eventuality
,movements,_,I-Eventuality
,occurred,_,B-Eventuality
,over,_,O
,at,_,O
,least,_,O
,three,_,O
,distinct,_,O
,spatial,_,O
,scales,_,O
,.,_,O
Sentence: 33,At,_,O
,fine,_,O
,scales,_,O
,Ocean,_,B-Biotic_Entity
,Sunfish,_,I-Biotic_Entity
,spent,_,B-Eventuality
,longer,_,O
,in,_,O
,highly,_,B-Aggregate_Biotic_Abiotic_Entity
,localised,_,I-Aggregate_Biotic_Abiotic_Entity
,areas,_,I-Aggregate_Biotic_Abiotic_Entity
,with,_,O
,faster,_,O
,straighter,_,O
,excursions,_,B-Eventuality
,between,_,O
,them,_,O
,.,_,O
Sentence: 34,These,_,O
,"	_	O",,
,stopovers,_,B-Eventuality
,"	_	O",,
,during,_,O
,long-distance,_,B-Quality
,movement,_,B-Eventuality
,appear,_,O
,consistent,_,O
,with,_,O
,finding,_,B-Eventuality
,and,_,O
,exploiting,_,B-Eventuality
,food,_,B-Aggregate_Biotic_Abiotic_Entity
,patches,_,I-Aggregate_Biotic_Abiotic_Entity
,.,_,O
Sentence: 35,Sims,_,O
,et,_,O
,al.,_,O
,suggest,_,O
,that,_,O
,there,_,O
,would,_,O
,be,_,O
,great,_,O
,value,_,O
,in,_,O
,pursuing,_,O
,long-term,_,O
,GPS,_,O
,tracking,_,O
,of,_,O
,other,_,O
,large,_,B-Quality
,pelagic,_,B-Biotic_Entity
,fish,_,I-Biotic_Entity
,species,_,I-Biotic_Entity
